"chrom","chrom_start","chrom_end","SYMBOL","AFR_ACB","AFR_ASW","AFR_ESN","AFR_GWD","AFR_LWK","AFR_MSL","AFR_YRI","AMR_CLM","AMR_MXL","AMR_PEL","AMR_PUR","EAS_CDX","EAS_CHB","EAS_CHS","EAS_JPT","EAS_KHV","EUR_CEU","EUR_FIN","EUR_GBR","EUR_IBS","EUR_NZC","EUR_TSI","POL_CIM","POL_NZM","POL_SAM","POL_TON","SAS_BEB","SAS_GIH","SAS_ITU","SAS_PJL","SAS_STU","POLsum","EURsum","EASsum","SASsum","AMRsum","AFRsum","ALLsum"
"chr1",12345002,12355001,"VPS13D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,5
"chr1",12355002,12365001,"VPS13D",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,2,4,0,0,0,1,7
"chr1",17245002,17255001,"CROCC",1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2,6,0,5,4,3,20
"chr1",27325002,27335001,"TRNP1",0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,3,5,1,5,4,2,20
"chr1",27325002,27335001,"FAM46B",0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,3,5,1,5,4,2,20
"chr1",27335002,27345001,"FAM46B",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,5,0,5,4,0,15
"chr1",27345002,27355001,NA,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,5,0,5,4,0,15
"chr1",27355002,27365001,NA,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,5,0,5,4,0,15
"chr1",27365002,27375001,NA,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,5,0,5,4,0,15
"chr1",39835002,39845001,"MACF1",1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,4,0,5,3,5,18
"chr1",52655002,52665001,"ZFYVE9",0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,6,1,3,2,3,16
"chr1",52665002,52675001,"ZFYVE9",0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,5,1,2,2,4,15
"chr1",52675002,52685001,"ZFYVE9",0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,5,1,2,2,4,15
