"Statistic","Chrom","Gene name","Population","stat"
"Fay.Wu.H","chr1","ABL2","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","ASTN1","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","ATPIF1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","AUNIP","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","AVPR1B","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","C1orf186","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","CACNA1E","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","CASZ1","SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","COA7","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","CYP2J2","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","DAB1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","DCAF6","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","DDR2","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","DHX9","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","DIRAS3","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","DNAJC8","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","DPYD","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","EIF2B3","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","EPHA2","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","EPS15","NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","FAM131C","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","FAM163A","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","FAM46B","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","FAM69A","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","FHAD1","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","GNG12-AS1","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","GPATCH2","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","HCRTR1","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","HMCN1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","HOOK1","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","IGSF21","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","KAZN","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","LMNA","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","LOC646471","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","LRRC39","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","LYPLAL1-AS1","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","LYST","SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","MEF2D","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","MIR1537","SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","MIR761","SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","MPC2","NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","MTFR1L","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","NPL","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","NRDC","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","NUAK2","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","OR11L1","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","OR14A16","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","OSBPL9","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","OTUD7B","CIM, NZM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","PAPPA2","NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","PAQR7","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","POU2F1","NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","PTGS2","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","RAB3B","CIM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","RALGPS2","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","RBBP4","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","RFX5","SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","RGS7","CIM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","RGS8","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","RNF220","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A2","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A3","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A4","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A5","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A6","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A7","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A7A","CIM, NZM","Fay and Wu's H"
"Fay.Wu.H","chr1","S100A7L2","CIM","Fay and Wu's H"
"Fay.Wu.H","chr1","S100PBP","TON","Fay and Wu's H"
"Fay.Wu.H","chr1","SAMD13","CIM, NZM, SAM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","SASS6","CIM, SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","SEMA4A","CIM, NZM, TON","Fay and Wu's H"
"Fay.Wu.H","chr1","SESN2","SAM","Fay and Wu's H"
"Fay.Wu.H","chr1","SLC44A5","CIM, NZM, SAM, TON","Fay and Wu's H"
