Chrom,Start,End,Gene name,ACB,ASW,ESN,GWD,LWK,MSL,YRI,CLM,MXL,PEL,PUR,CDX,CHB,CHS,JPT,KHV,CEU,FIN,GBR,IBS,NZC,TSI,CIM,NZM,SAM,TON,BEB,GIH,ITU,PJL,STU
chr1,150895002,150905001,SETDB1,-1.7541557939781518,-1.7736840609792135,-1.0599107860421089,-1.341827818609969,-1.1508961997504303,-1.3053448067048665,-1.7524939055758468,-0.6856630072944769,-0.5623985219997893,-0.5808171710874832,-1.1335640888206793,0.3908649392044894,-0.7772192264573765,-0.6371995814920308,-0.13054250352396712,-0.33135781388113683,-0.14094294307660826,-0.20122501451319064,-0.2402808675267627,-1.2350509882916152,-0.827524870240564,-0.49293887923565505,-0.5001788647004035,-0.3521893125088158,-1.6325313856574388,-2.027861334847932,-1.8342672616336781,-1.0831928348151465,-0.9763477120888242,-1.1578643180012045,-0.8016537576819263
chr1,150905002,150915001,SETDB1,-2.5225376181445207,-2.402962877238022,-1.520949941701815,-1.9147252316171697,-1.7366662775260475,-1.603694728662608,-2.372104827170049,-1.4277832465787534,-1.50874518823901,-1.6617490495359957,-1.7772116418851232,0.3800178647411898,-1.327667954870855,-1.1626737704897143,-0.8779864563404562,-0.973436555568908,-0.7848505800012335,-0.3537772174211171,-0.5833237175247499,-1.644330529271572,-0.9172165823777394,-0.9134741261808657,-1.147689922546014,-1.3893449136047864,-2.2981532960527664,-2.49055357125188,-2.0760193038794323,-1.6219574843660998,-1.3365954480482485,-1.7083135407873866,-1.3093554608540836
chr1,150915002,150925001,SETDB1,-2.5659635822037177,-2.375584049073558,-1.538588790155805,-1.6464877034266934,-1.7238933183007437,-1.224412924776264,-2.187567430844831,-2.1612739117335003,-1.9855845030011288,-1.898972070997204,-2.4458717533338867,-0.5083414367260906,-1.9251834105021672,-1.7239718134849427,-1.4822748817510452,-1.6698784283823829,-1.32766240965189,-0.5734509698561918,-1.127522813616879,-2.110060686940808,-1.176640056161777,-1.5057213743765208,-1.7949640488031118,-1.8403334924768868,-2.686107367257841,-2.8524013987666983,-2.4828325621106373,-2.027320030555329,-1.7164558188151062,-2.0564697791777347,-1.69216189714491
chr1,150925002,150935001,SETDB1,-2.066272875961058,-2.0239667599002877,-1.1341843090040424,-1.414695477484301,-1.323848748014514,-0.9189349089352568,-1.6961997774486475,-2.5134430066688043,-2.4050078457825514,-2.205711898938574,-2.88354655715731,-0.5608883658467372,-1.7595816996348168,-1.6662673815655173,-1.520076738472095,-1.6619519494022112,-1.6243905578341058,-0.8814937393953692,-1.7172421100346944,-2.4885645882784244,-1.8932846103137015,-2.0235071091293526,-1.9534811795417988,-2.1328685660210405,-2.761957561630531,-2.776346567813205,-2.6460689560813333,-2.322448596154003,-2.050112685869607,-2.1189747583331804,-1.953773472599413
chr1,150935002,150945001,SETDB1,-2.028319320332879,-1.938286626788585,-0.9157519127180465,-1.3958613864588707,-1.2179496102050587,-0.6936554137363216,-1.4866977114444917,-2.7075020432644763,-2.515452665190963,-2.3338769392487215,-3.0929562561033577,-0.9202680045439022,-2.1257301887794378,-2.077467331072777,-1.6656649930235012,-2.05958481477618,-1.74241286688075,-0.8906617202148648,-1.8924575808794537,-2.7261313899319095,-2.069848779912104,-2.2176981036149366,-2.2493940092127045,-2.393851768421075,-2.9022780913502118,-2.8361425950941603,-2.888996062929684,-2.5472852763058875,-2.406525933430011,-2.3200034359080193,-2.266917043145337
chr1,150945002,150955001,ANXA9,-1.9284371265034488,-1.8291934632415132,-0.9753125539843379,-1.4249231859749116,-1.2621669721600897,-0.8635498135242086,-1.4688081982879633,-2.22885147504456,-2.068384234707809,-1.5911354687633512,-2.699605718042749,-0.6217352883122931,-1.8024226124828369,-1.6225601353020331,-1.3036301756244941,-1.6739635956016352,-1.4785987453580907,-0.7026104883516777,-1.5193271332610312,-2.469310127452194,-1.7855386909965818,-2.070541243864265,-1.9466958384835247,-2.0776403663012113,-2.919520877535448,-2.8619588303376466,-2.5977818575912743,-2.2169497463218453,-2.0857838601929504,-2.07609618037557,-2.0177816337860928
chr1,150955002,150965001,ANXA9,-2.206903596271347,-1.8879524786876194,-0.9601404551558952,-1.3175982728709463,-1.270916157521184,-0.823508295110388,-1.4140447838517283,-2.3506977810505374,-2.3736532645564994,-1.8721692158288148,-2.8466323370409428,-0.5787936817993702,-1.5811258950500269,-1.3310579323533234,-1.4298266687015126,-1.4804792658402675,-2.0241694993812462,-1.3878329228645745,-1.9166675652609872,-2.5078755466486693,-2.0656871117532782,-2.335679401284333,-1.9423353745735756,-2.071804206977874,-3.01204371480579,-3.0661760362118273,-2.945240410277358,-2.571896157767646,-2.398982474705413,-2.556130836851359,-2.2541137942521154
chr1,150965002,150975001,ANXA9,-2.2686155016484078,-1.9985887092323034,-0.8652415530345243,-1.451066581471639,-1.1915887672129033,-0.8364171610379112,-1.272209723062686,-2.6007696102120255,-2.479261450220236,-1.989194568692204,-2.918590954087802,-0.6841010937175158,-1.6113208273979258,-1.3193177927819526,-1.4937116335565064,-1.4682966966546016,-2.1405451652861407,-1.3900582885942487,-1.872049335757175,-2.533396507264351,-2.187599710378607,-2.312277633691418,-2.084677001171502,-2.3979342880670993,-3.0610002495144775,-2.8845705844252665,-2.954611700042699,-2.5486276306745146,-2.3916214308247783,-2.5559952718131944,-2.317755220966076
chr1,151005002,151015001,BNIPL,-1.745119181256169,-1.4194141589792935,-0.682278360681865,-1.111849343821423,-0.9696208641264938,-0.7935291987434463,-0.5461396605804378,-2.830163633849272,-2.70201464052379,-1.7962769490313224,-3.052772129142706,-1.2002459263549357,-1.0102986766355906,-0.6133575431299401,-1.5567623869237963,-1.1059418016337181,-2.598948251546236,-1.9431620310212527,-2.3808482388157373,-2.6160755340240884,-2.625643177035136,-2.8227286038108366,-2.0558650919286126,-2.5320683720496024,-3.181309239208857,-2.5879466974953687,-3.006474522628551,-2.767373617020032,-2.641049538707008,-2.7052709648652664,-2.587878939605125
chr1,151015002,151025001,BNIPL,-1.8796590978146681,-1.9007232982210884,-0.7853358763972422,-1.7004639386555516,-1.1904039388273793,-1.139068684981709,-0.8027657573464295,-2.9542688465309475,-3.0191130703712363,-2.2699294310931104,-3.2006442154611436,-1.077292062058465,-1.0111216060093122,-0.6834221235107982,-1.6979318460204924,-1.0340615976773158,-2.7633994090713263,-2.279293154229844,-2.602420183589419,-2.9445343276175455,-3.0013518193826565,-3.129438246142767,-2.0628751508374212,-2.8031789977116577,-3.3226491737057344,-2.64896449931694,-3.369987088111126,-3.177847728679628,-3.101079416588255,-3.2059783402201276,-2.9997655015457303
chr2,15725002,15735001,DDX1,0.051947344725653544,-0.1939472130831983,-0.30082821760856593,-0.13949892416093324,-0.7569498931376115,-0.04215478952431706,-0.28584370466981346,-0.9404451352925183,-0.7063472747885209,0.27790738601329146,-0.5738938263414468,-1.3355095161749064,-1.1792932654729902,-1.503436502704508,-1.109753326658445,-1.1905158908689222,0.12807440898927824,0.14108971323342168,-0.4442037151573195,-0.848580959404039,-0.14964990270012146,-0.20760141024120315,0.3116585425506604,0.36743111836304143,0.007103926641564673,-0.06526493695489988,-0.1883107802374573,-0.19947700017228476,-0.48433451829615803,-0.5104471604883902,-0.26550844877093827
chr2,15735002,15745001,DDX1,0.1451432713655989,-0.08072526660148416,-0.2810495080818525,-0.05759364350340812,-0.7304408590450171,0.025443253998562287,-0.23080671992997637,-0.6861322788647335,-0.4272790499953598,0.5296750538489627,-0.2876479019575191,-1.1595695226363771,-1.0589605649764318,-1.4046058912850585,-1.0617500503814912,-0.9740240817417061,0.3279769534018784,0.30012857726391484,-0.22609298131403976,-0.6065439847329077,0.06493983960364336,0.018295952188886133,0.5770639433336942,0.6165181364231871,0.2728774480130651,0.18806053895711372,0.06409415334748303,0.06469514006632648,-0.22484509360555727,-0.23633282623536278,0.0011663977971050343
chr2,15745002,15755001,DDX1,0.45599700043913804,0.25824423217531134,0.0025662822122138884,0.1807550120183583,-0.41613216921913665,0.3101122201129809,0.11254963026884335,-0.1318776419300529,0.05838000354886841,0.8687881811076141,-0.051700492445551305,-0.42917207407522495,-0.3084439324385415,-0.701750445165735,-0.2862809958141077,-0.21305265218814373,0.464481679267585,0.2851318581015536,0.03119319417531763,-0.39779935058055305,0.28319047545475584,0.26535039953947104,0.6407595475211325,0.5025054113604739,0.2851114723210011,0.7413968813617853,0.3242774044069985,0.32586621451492626,0.42990316585284827,0.25977960605162265,0.2860516785661358
chr2,15755002,15765001,DDX1,0.3870028764376787,0.2747190040175953,-0.07813361209362757,0.101718852807267,-0.44227949070386474,0.16973354650876926,0.02984271857818177,0.008941395587082734,0.31439290807024545,0.8821260757526432,0.0634558540383301,-0.01659129922756808,0.10470097513520837,-0.22468479360828342,0.10649407349073892,0.1659755242339478,0.5495745451105081,0.2654456318087104,0.2252001397170349,-0.22933152511055566,0.45507821643893465,0.47090053932260423,0.6696709205819897,0.5391626663052342,0.3514258336284408,0.9398206305560088,0.5193382517971963,0.4712497600499641,0.5878618961885853,0.3265102340914736,0.4477594460654606
chr2,15765002,15775001,DDX1,0.702481517958983,0.5990134264815277,0.28056780791493585,0.41451913680889696,0.007629015856780441,0.462375775222414,0.36464795734221145,0.5580357067757973,0.7369203785778202,1.0381464258031405,0.5673836499285798,0.4932528827839904,0.5367419860645684,0.19299472048451882,0.5661099089747439,0.6456073705219465,0.6951617114586628,0.2818905065392818,0.3308172985927196,0.31837797858296524,0.6237424200095814,0.6492262615212545,0.9391953520323306,0.8593214920624073,0.8727217432875967,1.1510297725295673,0.8576745562224017,0.8294876412256587,0.8084659862186703,0.525686812674313,0.6811205553591431
chr2,27665002,27675001,IFT172,-1.7453487874216917,-2.228513965702744,-2.095972315438384,-2.089814371327809,-2.322827161566872,-2.098579245129574,-2.1111431629026964,-0.22654815803250727,-0.9358308801638029,-0.7600135275997482,-0.6447328806091805,-1.0855113721988594,-2.030396170810676,-1.201516991455797,-2.359191890120167,-0.4084332222540068,-1.0193689886788078,-0.38613475547508713,-1.0584060660055998,-1.287881758856882,-1.112434948945404,-0.7917546418050057,1.361812981232558,-0.1204465196367297,-0.3428052712359164,0.9577105128895025,-0.571395930322093,-0.624346723832153,-0.6430213983664883,-1.4712921091008113,0.03179434041221407
chr2,27675002,27685001,IFT172,-1.7453487874216917,-2.228513965702744,-2.095972315438384,-2.089814371327809,-2.322827161566872,-2.098579245129574,-2.1111431629026964,-0.819229117030762,-0.9358308801638029,-0.7600135275997482,-1.1345327032509025,-1.0855113721988594,-2.030396170810676,-1.201516991455797,-2.359191890120167,-0.4084332222540068,-1.4144839249683852,-0.38613475547508713,-1.4317697669221423,-1.6571096274160335,-1.4949414585311909,-1.2383743688866875,1.361812981232558,-0.1204465196367297,-0.3428052712359164,0.9577105128895025,-0.571395930322093,-0.624346723832153,-0.6430213983664883,-1.4712921091008113,0.03179434041221407
chr2,27685002,27695001,IFT172,-2.0674767737883246,-2.5871904265222136,-2.44683890622079,-2.571692660734584,-2.4665545436764353,-2.502530955264425,-2.4882641532500283,-0.7592091274771251,-1.0101325230992235,-0.8393986058197191,-1.2348170869870527,-0.6605391957192743,-1.3218189840584658,-0.6664448869429529,-1.5775250511622947,-0.17278303104849035,-1.406769516623701,-0.5345800236685039,-1.416799100780442,-1.570275167099452,-1.456471055798109,-1.137022872496279,1.1739812672482768,-0.35059283865984714,-0.0036318617772272965,0.7786731558842201,-0.8744736178986099,-0.9621331875023118,-1.0926488345099465,-1.5810690507635325,-0.429266052092685
chr2,27695002,27705001,IFT172,-1.4663519411141712,-1.9943044111211639,-1.713888352161431,-2.052853186066072,-1.8295671341456572,-1.937932751648688,-1.7786656120621178,-0.2071038884608285,-0.374476596605525,-0.22511140968552024,-0.7085201390984197,0.5519538159795263,0.12642433087122562,0.6509258884313947,0.0016758911697882795,0.32682973381796954,-0.4907181948437853,0.13695504090943533,-0.7079768045386323,-0.757874516111311,-0.7817289823910509,-0.5009197792305851,1.5721305771744745,0.44863692050222115,1.162736052986733,1.2586869119361435,-0.49192344012674205,-0.5785018689271149,-0.7238158291296692,-0.98800468127015,-0.19623124593412467
chr2,27705002,27715001,IFT172,-1.4663519411141712,-1.9943044111211639,-1.713888352161431,-2.052853186066072,-1.8295671341456572,-1.937932751648688,-1.7786656120621178,-0.2071038884608285,-0.374476596605525,-0.22511140968552024,-0.7085201390984197,0.5519538159795263,0.12642433087122562,0.6509258884313947,0.0016758911697882795,0.32682973381796954,-0.4907181948437853,0.13695504090943533,-0.7079768045386323,-0.757874516111311,-0.7817289823910509,-0.5009197792305851,1.5721305771744745,0.44863692050222115,1.162736052986733,1.2586869119361435,-0.49192344012674205,-0.5785018689271149,-0.7238158291296692,-0.98800468127015,-0.19623124593412467
chr2,27705002,27715001,FNDC4,-1.4663519411141712,-1.9943044111211639,-1.713888352161431,-2.052853186066072,-1.8295671341456572,-1.937932751648688,-1.7786656120621178,-0.2071038884608285,-0.374476596605525,-0.22511140968552024,-0.7085201390984197,0.5519538159795263,0.12642433087122562,0.6509258884313947,0.0016758911697882795,0.32682973381796954,-0.4907181948437853,0.13695504090943533,-0.7079768045386323,-0.757874516111311,-0.7817289823910509,-0.5009197792305851,1.5721305771744745,0.44863692050222115,1.162736052986733,1.2586869119361435,-0.49192344012674205,-0.5785018689271149,-0.7238158291296692,-0.98800468127015,-0.19623124593412467
chr2,27715002,27725001,FNDC4,-1.7077253694797974,-2.2644672105704795,-1.9820631886636053,-2.312183629892544,-2.045141425231583,-2.200024695958449,-2.0575538884251596,-0.4291821037150543,-0.2763581868278202,-0.13545428716557395,-0.997924071357305,0.6202030849999662,0.31446929590696593,0.7448817016680516,0.22572005077443258,0.26129998667732757,-0.4146071347660367,-0.13080921807442758,-0.6809748279519148,-0.67774880186058994,-0.7430402002008829,-0.37472321300379763,1.3599011589334187,0.17874787890000698,1.1853021431526152,1.0647501472869432,-0.4134354609058919,-0.5227730588904609,-0.6558318289005114,-0.8759570659106115,-0.5047850170579307
chr2,27715002,27725001,GCKR,-1.7077253694797974,-2.2644672105704795,-1.9820631886636053,-2.312183629892544,-2.045141425231583,-2.200024695958449,-2.0575538884251596,-0.4291821037150543,-0.2763581868278202,-0.13545428716557395,-0.997924071357305,0.6202030849999662,0.31446929590696593,0.7448817016680516,0.22572005077443258,0.26129998667732757,-0.4146071347660367,-0.13080921807442758,-0.6809748279519148,-0.67774880186058994,-0.7430402002008829,-0.37472321300379763,1.3599011589334187,0.17874787890000698,1.1853021431526152,1.0647501472869432,-0.4134354609058919,-0.5227730588904609,-0.6558318289005114,-0.8759570659106115,-0.5047850170579307
chr2,27725002,27735001,GCKR,-1.7077253694797974,-2.028557116868083,-1.7193109572900065,-2.0616977718575806,-1.8153568298962188,-1.9803640230836235,-1.7970825568543685,-0.031265358266038934,-0.2763581868278202,0.304136421465969,-0.6682240828375969,0.6202030849999662,0.31446929590696593,0.7448817016680516,0.22572005077443258,0.26129998667732757,-0.005172730019391114,0.3141472332881263,-0.33949184229285523,-0.3344418080366931,-0.394256367133623,-0.37472321300379763,1.3599011589334187,0.17874787890000698,1.1853021431526152,1.0647501472869432,-0.4134354609058919,-0.5227730588904609,-0.6558318289005114,-0.8759570659106115,-0.5047850170579307
