Chrom,Start,End,Gene name,ACB,ASW,ESN,GWD,LWK,MSL,YRI,CLM,MXL,PEL,PUR,CDX,CHB,CHS,JPT,KHV,CEU,FIN,GBR,IBS,NZC,TSI,CIM,NZM,SAM,TON,BEB,GIH,ITU,PJL,STU
chr1,39545002,39555001,MACF1,-1.0293733107209933,-1.0004053449045116,-0.4197676538975903,-0.4003244096000498,-0.27859133258573343,-0.4109246993533704,-0.3606369781573895,-0.31056560344349404,-0.3059249069186467,-0.7724527335838989,-0.38674730224944964,0.041847511604872434,0.003706313398751604,-0.11198707741023295,-0.0011358856635244052,-0.08870367159110293,-0.5102849356560346,-0.6941043296120355,-0.5064723610500641,-0.33211492376106544,-0.46248831710348637,-0.27532883621668036,0.29064522335661325,0.28245474700620665,0.02059947419445063,0.06254156458159921,-0.26890600976940027,-0.30667001774178404,-0.37893850489205105,-0.15577592965856235,-0.2563067518994062
chr1,39555002,39565001,MACF1,-1.1497960951232606,-1.159888919909875,-0.48146580245939763,-0.5729442105272933,-0.30828778863704587,-0.497466811203473,-0.3987880517583313,-0.39329746504251206,-0.42554116855023016,-0.9488977415596176,-0.5441170088252285,-0.0883668508494746,-0.14296084023449307,-0.2604087161665156,-0.17269456565682306,-0.18587749218900695,-0.7262919459518191,-0.8632871185379734,-0.6999310754540304,-0.5043812105544199,-0.6646615906874733,-0.43238843923342785,0.0955540728740436,0.08456909535744472,-0.18802607609515154,-0.12359249804607186,-0.418097442591878,-0.3914747503177156,-0.47130090570553707,-0.31700560742396955,-0.3937736962518179
chr1,39565002,39575001,MACF1,-1.4669665101785343,-1.4691651526238416,-0.7258756123541883,-0.8430297099477813,-0.5249362248768992,-0.7504923941798554,-0.6454791866265082,-0.6225218181288172,-0.6319277605490248,-1.2685122970816116,-0.7284489172922051,-0.29782380620944915,-0.3751263416276982,-0.4977627075195641,-0.4033437579480823,-0.41697884705644683,-0.7582613342026572,-0.8988462925258318,-0.7863268343921594,-0.6598052348961712,-0.74295784170121415,-0.5668429826825097,-0.08965039571036826,-0.09394146142194226,-0.4340849869485923,-0.3625466329239877,-0.6635981918237928,-0.639833188730129,-0.7249701006935714,-0.5385316912987697,-0.6416527169044186
chr1,39575002,39585001,MACF1,-1.8308762711446351,-1.7925012909624074,-1.0123220539419733,-1.0349463193503663,-0.8255975247599543,-0.9889704741002339,-0.9179860052282618,-0.8740596739401709,-0.8726327563280452,-1.6552358095183117,-0.911968480025299,-0.5259694280105116,-0.6332883323539076,-0.7611535888206118,-0.6740272557512916,-0.6674464009253673,-0.7830481792391957,-0.935904291740197,-0.8849748526973467,-0.8180260301831763,-0.8315747836044878,-0.7224023158143382,-0.33245584966620134,-0.32451053977438193,-0.7320524872319432,-0.639553479761326,-0.9556016474740783,-0.9278838533782852,-1.015634787049931,-0.8136099339486875,-0.9300783247809279
chr1,39585002,39595001,MACF1,-1.8308762711446351,-1.7925012909624074,-1.0123220539419733,-1.0349463193503663,-0.8255975247599543,-0.9889704741002339,-0.9179860052282618,-0.8740596739401709,-0.8726327563280452,-1.6552358095183117,-0.911968480025299,-0.5259694280105116,-0.6332883323539076,-0.7611535888206118,-0.6740272557512916,-0.6674464009253673,-0.7830481792391957,-0.935904291740197,-0.8849748526973467,-0.8180260301831763,-0.8315747836044878,-0.7224023158143382,-0.33245584966620134,-0.32451053977438193,-0.7320524872319432,-0.639553479761326,-0.9556016474740783,-0.9278838533782852,-1.015634787049931,-0.8136099339486875,-0.9300783247809279
chr1,39595002,39605001,MACF1,-1.7047776931536274,-1.669065731166689,-0.8617766037099754,-0.8484674033866351,-0.6001663916754809,-0.7367423756361675,-0.8014522798714956,-0.796289044045692,-0.8774837105015796,-1.7564930495427449,-0.7502398403466357,-1.5152300918583328,-0.5004526744932218,-0.7293528785966861,-0.7249534608137538,-1.618759579942408,-1.591636450893433,-0.6237086948931123,-1.6204868583376124,-0.4488799083304924,-0.5351333353980703,-0.6030807634872775,-0.32957935463141674,-0.3216340447395969,-0.7533750774104269,-0.5207953276109274,-1.852929168268674,-1.8959047994910616,-1.8780734491412334,-0.733886499181241,-0.8331838467559045
chr1,39605002,39615001,MACF1,-1.3961698541509207,-1.3832631043198877,-0.6877973037421179,-0.5963654133937644,-0.5138105716284616,-0.5577858071710442,-0.5998340184346476,-0.5579187510675752,-0.6600095840821725,-1.3835287093906838,-0.5016078762420457,-1.187838876755904,-0.24902158508666483,-0.5320511604109845,-0.49532134264039174,-1.3002364236081587,-1.309286715372267,-0.43161892922837475,-1.34786406663947,-0.2203360777810497,-0.309376788162693,-0.4036972402642627,-0.10288103337835919,-0.08707960896680422,-0.5556260621719358,-0.2819712277471871,-1.6302633350661098,-1.6797331635907913,-1.6008241357982167,-0.579934895767936,-0.6755176189340735
chr1,39615002,39625001,MACF1,-1.662300302996061,-1.6041556523085956,-0.8517216200210107,-0.7820739812942847,-0.6693063525957188,-0.690791910173407,-0.8014522798714956,-0.8324997077002643,-0.937851140216676,-1.817735406460186,-0.7680215232432426,-1.5202706429824446,-0.49296594393954063,-0.7385943788025671,-0.7324460078332777,-1.6250904955984227,-1.6633713113781297,-0.6765804297144709,-1.6804381495521492,-0.43273988184596934,-0.5108887824612347,-0.6514586988781954,-0.33766093591962165,-0.344646005017875,-0.7578952838936599,-0.5324382837041037,-1.9427840057251122,-2.0060218727622785,-1.9565249097656525,-0.8710959806885856,-0.9466214391332608
chr1,39625002,39635001,MACF1,-1.662300302996061,-1.6041556523085956,-0.8517216200210107,-0.7820739812942847,-0.6693063525957188,-0.690791910173407,-0.8014522798714956,-0.8324997077002643,-0.937851140216676,-1.817735406460186,-0.7680215232432426,-1.5202706429824446,-0.49296594393954063,-0.7385943788025671,-0.7324460078332777,-1.6250904955984227,-1.6633713113781297,-0.6765804297144709,-1.6804381495521492,-0.43273988184596934,-0.5108887824612347,-0.6514586988781954,-0.33766093591962165,-0.344646005017875,-0.7578952838936599,-0.5324382837041037,-1.9427840057251122,-2.0060218727622785,-1.9565249097656525,-0.8710959806885856,-0.9466214391332608
chr1,39735002,39745001,MACF1,-2.0814317522650745,-1.28448421930561,-1.3812916921610694,-1.3363360745379538,-0.3366845858112839,-0.10280453353279895,-2.934878366946104,-1.4799227477682568,-0.7916534996250391,-0.42895842500825876,-2.298095344066633,-1.1712377013956652,-0.9919646337223798,-0.4834717755227418,-0.41351788157657055,-1.2342969966469073,-1.6504075919896857,-2.333045790686155,-1.6738291603764557,-2.237641073452451,-1.5485858973148596,-2.2935034008923463,-0.9436390410456316,-0.1184674798242622,-1.250467910888064,-0.945639735863294,-2.125157486209669,-2.901434318787127,-2.0077688983264466,-1.2650141188791417,-1.3153044385260242
