Chrom,Start,End,Gene name,ACB,ASW,ESN,GWD,LWK,MSL,YRI,CLM,MXL,PEL,PUR,CDX,CHB,CHS,JPT,KHV,CEU,FIN,GBR,IBS,NZC,TSI,CIM,NZM,SAM,TON,BEB,GIH,ITU,PJL,STU
chr1,150895002,150905001,SETDB1,-1.9117279474843316,-1.8078335303417634,-1.5520187125002796,-1.2902470204823593,-1.588338932655565,-1.6347045722921913,-1.9880799382282344,-1.361201461145314,-1.4521576327476455,-1.7082546832409298,-1.5857630894569337,-0.8770959048712723,-1.7297216857667743,-1.382486263345606,-1.3509997887245222,-1.4292647910244323,-0.6733623365664334,-0.7174814653988548,-0.6605786959985755,-1.6372881439164702,-1.3356085774583168,-1.2821530310845624,-1.8470055062845616,-1.7472414653518529,-2.3826039232276335,-2.618443868783029,-2.362007180653979,-1.9071536135443836,-1.8508402419911623,-1.8649613097821978,-1.7397680590541031
chr1,150905002,150915001,SETDB1,-2.085600436807619,-2.1340391390486846,-1.3567239469887724,-1.7060868025152198,-1.4714515931442982,-1.3274301723287631,-1.9891245171335494,-1.909897955648237,-1.9058425959146148,-2.0476442361582285,-2.1097644515376937,-0.8402921875887641,-1.9750829941963166,-1.9392282619874173,-1.6311260944190573,-1.8562914432031272,-1.5464159150060042,-1.3076890936238699,-1.3824468970866715,-2.1901091814315587,-1.6979578421952657,-1.6879342408634213,-1.9519070188576775,-2.249826222904437,-2.269929598021278,-2.347138762437429,-2.3706464796753774,-1.9688642904913412,-2.1033762414326023,-2.1504865943206353,-1.894821519691941
chr1,150915002,150925001,SETDB1,-1.7401662033137757,-2.033637309933302,-0.8520787174538123,-1.4672172153291339,-0.990278234750499,-0.5712326286048259,-1.4622577122895382,-2.3807995448981027,-1.9711852807573509,-1.8913713538382746,-2.5115157706462163,-0.43084616611895443,-1.7324348116142039,-1.972289492457317,-1.2976637942624416,-1.655276856725396,-2.1083263685183558,-1.7748916643975248,-2.134834692539569,-2.641633433063491,-2.0646888594874664,-2.049384402729703,-1.4383476988012651,-1.936713361380833,-1.5236677088676236,-1.6646164936844845,-2.146436501598627,-1.624923607638482,-1.958052235725979,-2.0652885683379147,-1.6027429201702938
chr1,150925002,150935001,SETDB1,-1.486181432067695,-1.7411579760628626,-0.5856765108453101,-1.0157083849278539,-0.7084551870673994,-0.13819272576192,-1.0405631403738616,-2.6840457097454937,-2.3780816421371958,-2.2175629248304487,-2.909465439273739,-0.6636343446327215,-1.7487622683993211,-2.031022395162956,-1.4631236564902208,-1.759239537341902,-2.3474768311089815,-2.0292807629371445,-2.5390618923425605,-2.927424244250023,-2.57422571339809,-2.4563006599257236,-1.6483295428057958,-2.2446972436286914,-1.8318403995016075,-1.771516100535838,-2.36730219105135,-1.9704221123954784,-2.2542183804538785,-2.1691587150500324,-1.91327266733063
chr1,150935002,150945001,SETDB1,-1.3371370565054248,-1.5929987033555766,-0.26074463291053185,-0.8768484817539937,-0.447544514268053,0.24875267779745514,-0.7554199985226324,-2.714781051793703,-2.311586947468875,-2.1215319765056275,-2.973581496850819,-0.47994212152361015,-1.7184184337134225,-2.098371178394581,-1.2252452593051169,-1.8106826970682977,-2.3388537340618845,-1.9441226214108025,-2.5803770706605027,-3.012125121501427,-2.5994165908929117,-2.4726298207636077,-1.5331414255655185,-2.21263166212705,-1.6198005762840528,-1.4937208561865516,-2.353627638253314,-1.877307013562752,-2.330476853458605,-2.1268466539366773,-1.8999244424437798
chr1,150945002,150955001,ANXA9,-1.3860344352976344,-1.605879729063288,-0.48001813497119317,-1.0422499011659205,-0.6556259991303406,-0.10278339919771162,-0.8901916219722039,-2.461532209124956,-2.16223800534803,-1.6623974272189963,-2.787272838318755,-0.5385017058721919,-1.6651220001699971,-1.8909155603160812,-1.3119214623542674,-1.7081595868886257,-2.270148487443313,-1.9044117732677333,-2.4227623207975886,-2.9373488037608873,-2.500989260511943,-2.49803819579086,-1.6382102936040661,-2.2149092198836318,-1.9081930758706291,-1.8143310092723202,-2.325330679703709,-1.8964052267073472,-2.280666725139079,-2.1364825037735873,-1.931948419376964
chr1,150955002,150965001,ANXA9,-1.6844190044702048,-1.7120023699737883,-0.569873742919667,-1.0508301205314006,-0.7568776645869846,-0.20037077005217574,-0.9412820500790343,-2.63019310344893,-2.5196571313566127,-2.103231518253108,-2.967848400675557,-0.772396384921004,-1.6781957540912853,-1.818675765340678,-1.6485349247523138,-1.7535801020479362,-2.680253950337011,-2.393520413918044,-2.7127380628067166,-3.0149013976459385,-2.7372335489253627,-2.7480075038397147,-1.928466856190786,-2.404743483666953,-2.1740520551192675,-2.2481783757133247,-2.711396773074866,-2.2992743293249216,-2.5863720923083258,-2.5893671244585565,-2.194079992878351
chr1,150965002,150975001,ANXA9,-1.7908036847226592,-1.8201999784926135,-0.5831768930723866,-1.25411841680457,-0.8761570646321681,-0.401922177587988,-0.9652480806361876,-2.632022426871786,-2.2890717407527696,-1.9070471387929115,-2.8430550928442835,-0.12818079135722593,-1.1098949780517566,-1.2736573190073797,-1.042971590544324,-1.2071813650029357,-2.564316468511951,-2.1924946573866424,-2.4550245265222594,-2.761611711155681,-2.59852618275978,-2.4162071589255234,-1.5506324244652872,-2.4085597775019556,-1.9927727316100718,-1.7779623264785491,-2.520897946760462,-2.0796790020190374,-2.395184196971503,-2.383638805348464,-2.0460107499895135
chr1,151005002,151015001,BNIPL,-1.5582872697421384,-1.463938945109393,-0.6769269263729571,-1.0043767958019751,-0.9581931664062222,-0.5831905641409634,-0.631568456434936,-2.749239903501397,-2.507587824210695,-1.992354279572973,-2.856201997831823,-0.19990750687311243,-0.2555731362435285,-0.2188471778010359,-0.9642769272922673,-0.3637101082433838,-2.7278839256838125,-2.439036522146231,-2.645356199504102,-2.6119475864030024,-2.7630986708413126,-2.6077535864713557,-1.3471478962505299,-2.4447025459169516,-2.292730648199057,-1.6939220807533806,-2.4520434281642896,-2.2942459872810512,-2.3741746461044437,-2.4064601895529294,-2.1927612138780415
chr1,151015002,151025001,BNIPL,-1.9744552548234302,-1.8902061254827554,-1.1798980758881248,-1.6015467271470811,-1.5011381582789638,-1.2240787403976383,-1.1847118061663537,-2.935653368704759,-2.895009633918757,-2.4951456736361752,-3.095909263916672,-1.0486633099876435,-1.0437609091033504,-0.9349698572911582,-1.6951700797671054,-1.2069955840702562,-3.016617728227034,-2.795606106826813,-2.8647006926684817,-2.9329504810852463,-3.121571834968244,-3.0077009650146955,-2.1768657362584913,-3.1255716600897516,-3.223701574758161,-2.608768585810414,-3.1461337359574895,-3.0251627334513453,-3.0651774718187985,-3.0541918182365086,-2.94754177248283
